"company","batch","yc_url"
"Revise Robotics","W25","https://www.ycombinator.com/companies/revise-robotics"
"SAMMY Labs","W25","https://www.ycombinator.com/companies/sammy-labs"
"Splash Inc.","W25","https://www.ycombinator.com/companies/splash-inc"
"Stamp","W25","https://www.ycombinator.com/companies/stamp"
"Steinmetz","W25","https://www.ycombinator.com/companies/steinmetz"
"SubImage","W25","https://www.ycombinator.com/companies/subimage"
"Subtrace","W25","https://www.ycombinator.com/companies/subtrace"
"Tee Time Tommy","W25","https://www.ycombinator.com/companies/tee-time-tommy"
"Uncommon Therapeutics","W25","https://www.ycombinator.com/companies/uncommon-therapeutics"
"Waypoint Transit","W25","https://www.ycombinator.com/companies/waypoint-transit"
"ZeroEntropy","W25","https://www.ycombinator.com/companies/zeroentropy"
"Aravolta","P25","https://www.ycombinator.com/companies/aravolta"
"Attune","P25","https://www.ycombinator.com/companies/attune"
"Atum Works","P25","https://www.ycombinator.com/companies/atum-works"
"Better Auth","P25","https://www.ycombinator.com/companies/better-auth"
"Bloom","P25","https://www.ycombinator.com/companies/bloom-4"
"Capacitive","P25","https://www.ycombinator.com/companies/capacitive"
"Cascade Space","P25","https://www.ycombinator.com/companies/cascade-space"
"Casco","P25","https://www.ycombinator.com/companies/casco"
"chrt","P25","https://www.ycombinator.com/companies/chrt"
"Den","P25","https://www.ycombinator.com/companies/den"
"Foundation Industries","P25","https://www.ycombinator.com/companies/foundation-industries"
"Jeevy Fabrication","P25","https://www.ycombinator.com/companies/jeevy-fabrication"
"Kaizen","P25","https://www.ycombinator.com/companies/kaizen"
"Klavis AI","P25","https://www.ycombinator.com/companies/klavis-ai"
"Labric","P25","https://www.ycombinator.com/companies/labric"
"Libretto","P25","https://www.ycombinator.com/companies/libretto"
"MindFort","P25","https://www.ycombinator.com/companies/mindfort"
"NODI Energy","P25","https://www.ycombinator.com/companies/nodi-energy"
"Opusense AI","P25","https://www.ycombinator.com/companies/opusense-ai"
"Orchid","P25","https://www.ycombinator.com/companies/orchid-ai"
"ParaQuery","P25","https://www.ycombinator.com/companies/paraquery"
"PgDog","P25","https://www.ycombinator.com/companies/pgdog"
"Probo","P25","https://www.ycombinator.com/companies/probo"
"Propolis","P25","https://www.ycombinator.com/companies/propolis"
"QFEX","P25","https://www.ycombinator.com/companies/qfex"
"Refresh","P25","https://www.ycombinator.com/companies/refresh"
"RunRL","P25","https://www.ycombinator.com/companies/runrl"
"Scalar Field","P25","https://www.ycombinator.com/companies/scalar-field"
"sieve","P25","https://www.ycombinator.com/companies/sieveai"
"Sygaldry Technologies","P25","https://www.ycombinator.com/companies/sygaldry-technologies"
"Ticket Wallet","P25","https://www.ycombinator.com/companies/ticket-wallet"
"Trapeze","P25","https://www.ycombinator.com/companies/trapeze"
"Vassar Robotics","P25","https://www.ycombinator.com/companies/vassar-robotics"
"Vesence","P25","https://www.ycombinator.com/companies/vesence"
"VoiceOS","P25","https://www.ycombinator.com/companies/voiceos"
"Albacore Inc.","S25","https://www.ycombinator.com/companies/albacore-inc"
"args","S25","https://www.ycombinator.com/companies/args"
"Autumn","S25","https://www.ycombinator.com/companies/autumn"
"bitrig","S25","https://www.ycombinator.com/companies/bitrig"
"BootLoop","S25","https://www.ycombinator.com/companies/bootloop"
"CareSwift","S25","https://www.ycombinator.com/companies/careswift"
"cocreate","S25","https://www.ycombinator.com/companies/cocreate"
"Comena","S25","https://www.ycombinator.com/companies/comena"
"Conviction","S25","https://www.ycombinator.com/companies/conviction"
"Costream","S25","https://www.ycombinator.com/companies/costream"
"DeepGrove","S25","https://www.ycombinator.com/companies/deepgrove"
"Duranium","S25","https://www.ycombinator.com/companies/duranium"
"F4 Industries","S25","https://www.ycombinator.com/companies/f4-industries"
"Flai","S25","https://www.ycombinator.com/companies/flai"
"Freya","S25","https://www.ycombinator.com/companies/freya"
"Fulcrum","S25","https://www.ycombinator.com/companies/fulcrum"
"Golpo","S25","https://www.ycombinator.com/companies/golpo"
"Halluminate","S25","https://www.ycombinator.com/companies/halluminate"
"Hera","S25","https://www.ycombinator.com/companies/hera-video"
"Imprezia","S25","https://www.ycombinator.com/companies/imprezia"
"Iron Grid","S25","https://www.ycombinator.com/companies/iron-grid"
"IronLedger.ai","S25","https://www.ycombinator.com/companies/ironledger-ai"
"Janet AI","S25","https://www.ycombinator.com/companies/tryjanet"
"Juxta","S25","https://www.ycombinator.com/companies/juxta"
"Kalinda","S25","https://www.ycombinator.com/companies/kalinda"
