yc_id,name,yc_slug,batch,status,website,yc_profile_url,roster_source,historical_only,link_status,evidence,crunchbase_slug,crunchbase_url,invalid_source_value
32518,Agency Tool Company,agency-tool-company,Summer 2026,Active,https://agencytool.com,https://www.ycombinator.com/companies/agency-tool-company,yc_oss_current,false,unverified_candidate,yc_slug_inference,agency-tool-company,https://www.crunchbase.com/organization/agency-tool-company,
33250,Agent FM,agent-fm,Summer 2026,Active,https://www.agentfm.ai/,https://www.ycombinator.com/companies/agent-fm,yc_oss_current,false,unverified_candidate,yc_slug_inference,agent-fm,https://www.crunchbase.com/organization/agent-fm,
33018,Agentcard,agentcard,Summer 2026,Active,https://agentcard.sh,https://www.ycombinator.com/companies/agentcard,yc_oss_current,false,unverified_candidate,yc_slug_inference,agentcard,https://www.crunchbase.com/organization/agentcard,
30906,Agentic Fabriq,agentic-fabriq,Winter 2026,Active,https://www.agenticfabriq.com,https://www.ycombinator.com/companies/agentic-fabriq,yc_oss_current,false,unverified_candidate,yc_slug_inference,agentic-fabriq,https://www.crunchbase.com/organization/agentic-fabriq,
29275,Agentic Labs,agentic-labs-2,Winter 2024,Active,https://agenticlabs.com,https://www.ycombinator.com/companies/agentic-labs-2,yc_oss_current,false,unverified_candidate,yc_slug_inference,agentic-labs-2,https://www.crunchbase.com/organization/agentic-labs-2,
25543,Agentnoon,agentnoon,Winter 2022,Active,https://agentnoon.com,https://www.ycombinator.com/companies/agentnoon,yc_oss_current,false,unverified_candidate,yc_slug_inference,agentnoon,https://www.crunchbase.com/organization/agentnoon,
31524,AgentPhone,agentphone,Spring 2026,Active,https://agentphone.ai/,https://www.ycombinator.com/companies/agentphone,yc_oss_current,false,unverified_candidate,yc_slug_inference,agentphone,https://www.crunchbase.com/organization/agentphone,
28933,Aglide,aglide,Summer 2023,Active,https://aglide.com,https://www.ycombinator.com/companies/aglide,yc_oss_current,false,unverified_candidate,yc_slug_inference,aglide,https://www.crunchbase.com/organization/aglide,
33019,Agnost AI,agnost-ai,Summer 2026,Active,https://agnost.ai,https://www.ycombinator.com/companies/agnost-ai,yc_oss_current,false,unverified_candidate,yc_slug_inference,agnost-ai,https://www.crunchbase.com/organization/agnost-ai,
24871,Ahazou,ahazou,Summer 2021,Active,https://ahazou.com,https://www.ycombinator.com/companies/ahazou,yc_oss_current,false,unverified_candidate,yc_slug_inference,ahazou,https://www.crunchbase.com/organization/ahazou,
24256,AI Tech Packs,ai-tech-packs,Summer 2021,Active,https://aitechpacks.com,https://www.ycombinator.com/companies/ai-tech-packs,yc_oss_current,false,unverified_candidate,yc_slug_inference,ai-tech-packs,https://www.crunchbase.com/organization/ai-tech-packs,
22151,AI.Fashion,ai-fashion,Summer 2020,Inactive,https://www.ai.fashion,https://www.ycombinator.com/companies/ai-fashion,yc_oss_current,false,unverified_candidate,yc_slug_inference,ai-fashion,https://www.crunchbase.com/organization/ai-fashion,
31442,AICE,aice,Spring 2026,Active,https://aicepower.com,https://www.ycombinator.com/companies/aice,yc_oss_current,false,unverified_candidate,yc_slug_inference,aice,https://www.crunchbase.com/organization/aice,
29272,Aidy,aidy,Winter 2024,Active,https://www.aidyhq.com/,https://www.ycombinator.com/companies/aidy,yc_oss_current,false,unverified_candidate,yc_slug_inference,aidy,https://www.crunchbase.com/organization/aidy,
27086,AiPrise,aiprise,Summer 2022,Active,https://aiprise.com/,https://www.ycombinator.com/companies/aiprise,yc_oss_current,false,unverified_candidate,yc_slug_inference,aiprise,https://www.crunchbase.com/organization/aiprise,
30837,AirCaps,aircaps,Fall 2025,Active,https://aircaps.com,https://www.ycombinator.com/companies/aircaps,yc_oss_current,false,unverified_candidate,yc_slug_inference,aircaps,https://www.crunchbase.com/organization/aircaps,
28827,Airgoods,airgoods,Summer 2023,Active,https://airgoods.com/,https://www.ycombinator.com/companies/airgoods,yc_oss_current,false,unverified_candidate,yc_slug_inference,airgoods,https://www.crunchbase.com/organization/airgoods,
26880,Airhart Aeronautics,airhart-aeronautics,Summer 2022,Active,https://www.airhartaero.com/,https://www.ycombinator.com/companies/airhart-aeronautics,yc_oss_current,false,unverified_candidate,yc_slug_inference,airhart-aeronautics,https://www.crunchbase.com/organization/airhart-aeronautics,
26120,AirMyne,airmyne,Winter 2022,Active,http://www.airmyne.com,https://www.ycombinator.com/companies/airmyne,yc_oss_current,false,unverified_candidate,yc_slug_inference,airmyne,https://www.crunchbase.com/organization/airmyne,
26666,Airtrain AI,airtrain-ai,Summer 2022,Inactive,https://airtrain.ai,https://www.ycombinator.com/companies/airtrain-ai,yc_oss_current,false,unverified_candidate,yc_slug_inference,airtrain-ai,https://www.crunchbase.com/organization/airtrain-ai,
30549,Airweave,airweave,Spring 2025,Active,https://airweave.ai,https://www.ycombinator.com/companies/airweave,yc_oss_current,false,unverified_candidate,yc_slug_inference,airweave,https://www.crunchbase.com/organization/airweave,
29110,AiSDR,aisdr,Summer 2023,Active,https://aisdr.com/,https://www.ycombinator.com/companies/aisdr,yc_oss_current,false,unverified_candidate,yc_slug_inference,aisdr,https://www.crunchbase.com/organization/aisdr,
